Task,NExamples,NFeatures,NNumerical,NCategorical,NBinary,NFeaturesWithNANs,NExamplesWithNANs,NClasses,YImbalance,STDRatio,CorrelationMean,SkewnessMean,KurtosisMean,AdaBoostClassifier_rl,BernoulliNB_rl,CalibratedClassifierCV_rl,DecisionTreeClassifier_rl,ExtraTreeClassifier_rl,ExtraTreesClassifier_rl,GaussianNB_rl,GradientBoostingClassifier_rl,KNeighborsClassifier_rl,LinearSVC_rl,LogisticRegression_rl,LogisticRegressionCV_rl,MLPClassifier_rl,MultinomialNB_rl,NearestCentroid_rl,PassiveAggressiveClassifier_rl,Perceptron_rl,RandomForestClassifier_rl,SVC_rl,AdaBoostClassifier,BernoulliNB,CalibratedClassifierCV,DecisionTreeClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GradientBoostingClassifier,KNeighborsClassifier,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,PassiveAggressiveClassifier,Perceptron,RandomForestClassifier,SVC
digit-recognizer,1000,784,784,0,43,784,1000,10,10.208928554075703,0.17676545700511892,0.07308782463504097,7.411315793101858,150.1129408017819,0.8214274323713214,2.9045923085137053,2.5546158052517334,1.4469173530948458,1.9694800729619844,2.5546158052517334,2.311649962390041,1.4150903890027315,2.2046393019897605,2.475348649399673,2.559419875303373,2.4612967444986267,2.8605149657899083,2.9397821216419686,2.864958730587676,0.1614683090272802,0.1614683090272802,2.1786973237109053,0.7817938544452919,0.7438535795158506,2.0660801743086563,1.9928620708295084,1.5510432881389802,1.4856731942434631,1.9900488066568407,1.5641000478857072,1.7916398030477283,2.0011665453830982,1.960858805579324,2.030948343739654,1.8543753200488136,1.9720395612743924,2.0386319125716046,2.030421372410046,0.1826040000266496,0.1830655623394425,1.8811426982377952,1.972006085640256
iris,150,5,5,0,0,5,150,3,0.0,0.2584100390650575,0.7148644242594275,0.05390056083822936,-0.8405915901469927,1.390392751016622,0.5432232453859149,1.3148196223769413,1.390392751016622,1.3473792647333749,1.375185962936686,1.3890893120383416,1.390392751016622,1.3890893120383416,1.3743433357184038,1.287473735933628,1.286631108715346,1.3890893120383416,0.892768714419867,1.3890893120383416,0.3677987913797989,0.3677987913797989,1.4042961001182774,1.3890893120383416,1.180853519186931,0.5051755530427452,1.1763783330693305,1.1058741939708652,1.2537650048748883,1.3711630783011055,1.416760399570003,1.1691360751830802,1.4345018604726605,1.2777792963708816,1.2500821084128737,1.1713537618555916,1.3148758381274552,1.034066643272284,1.4179336931833408,0.4437449268575323,0.443251159772508,1.291063938731227,1.4227907429703817
mushroom-classification,1000,22,0,22,5,22,1000,2,5.656854249492381,0.20698004502919384,0.11210459057206863,6.242831672756287,113.34042630005496,1.085375503121237,1.0724815454029004,1.1225837811084365,1.085375503121237,1.0975326632556683,1.1468981013772992,1.010590548354886,1.085375503121237,1.0356416662076535,1.110058222182052,1.1225837811084365,1.0850071043292844,1.1343725424509157,1.0724815454029004,1.0724815454029004,0.5891423303612628,0.5891423303612628,1.0599559864765171,1.0724815454029004,1.0888397021308789,1.0718143586539979,1.1139234891501686,1.154545666111832,1.1643913234801313,1.1261853961346011,1.0358767524237589,1.0763415147928863,1.1073334108021315,1.1551574715524655,1.1431212716922077,1.0678822002462969,1.0526438836414678,1.0737944652970652,1.0285934575583116,0.5622966608135731,0.5621720273431914,1.1210523527966665,1.0985994785230326
titanic,891,11,6,5,1,11,891,2,146.3711037056153,0.035520523953419265,0.0029090555511583683,28.594848946400965,833.1897888493054,1.129064924201893,0.8147414623166838,1.131294168612426,1.2654946821265372,0.9048029365022332,1.1451154839577335,0.7104128239037205,1.1910379188147215,1.1905920699326145,1.1009764446291723,1.1161353066207995,1.1156894577386929,1.0858175826375451,1.010469121561516,1.0853717337554385,0.8147414623166838,0.8147414623166838,1.0394492988984505,0.8147414623166838,0.9385622525934322,1.0770692470699954,1.137661919525428,1.1446448042155632,1.1035147710902826,1.1208837540290455,0.6293768837688668,1.0577598626388371,1.0423966009140828,1.1654225356182082,1.144854351177136,1.0466778775696453,1.0225422277949734,1.0850378525957578,1.1134278967327371,0.8635432346829588,0.8629558502840454,1.1083721201702303,0.7936687695423591
predicting-a-pulsar-star,1000,8,8,0,0,8,1000,2,560.0285706997456,0.1392353564622447,0.5044441425552095,1.9660686035088712,9.477607973581645,1.051053759311203,0.9698929996111536,1.0383503360538038,0.9818906771320306,0.970598745347676,1.0270584042694493,0.9931826089163852,0.9705987453476764,1.0044745407007398,1.0383503360538038,0.9924768631798632,1.0270584042694493,1.0270584042694493,0.9924768631798632,0.9818906771320306,0.9698929996111536,0.9698929996111536,1.038350336053804,0.9698929996111536,0.9817912463544946,0.9715326718752384,1.006336649658338,1.041682340495116,1.0453821180315332,1.0137383891938834,1.0186940852867403,0.9808786365552264,1.0417271745631718,1.0460772863736187,1.0371754286947146,0.9676919355321834,0.9305571313905318,0.9946855130925456,1.0160091921091206,0.9642262088470857,0.964260426199202,1.00721079784518,1.0171884107952884
optical-interconnection-network,640,7,6,1,1,7,640,4,0.0,0.25767167000327296,0.4151640844037408,1.5760568944645128,12.252384182470406,1.215461117821016,0.5954357723457149,1.3357683348670317,1.200528570233653,1.0078733012662533,1.477387599981969,1.097666181938092,1.7860876763816,0.9828351732700509,1.3089800784201366,0.9789961818298212,1.4591523906408785,1.3613427925497374,0.6929066358980124,0.7860021783235777,0.7565887292006427,0.7565887292006427,1.5321779116399503,0.6048638836768667,1.1431204097270706,0.5952723601521543,1.056502725743317,1.3534663403595646,1.2165517345554138,1.5367934981878804,0.9624495033692531,1.3759783371111345,1.2458335829723786,1.1284145518049042,1.162231022779805,0.9540927067730944,1.1425531614913864,0.9255380025988958,0.9777029470093486,0.5965859819016934,0.5965743311049589,1.522413074139039,0.9939706065962588
