Task,NExamples,NFeatures,NNumerical,NCategorical,NBinary,NFeaturesWithNANs,NExamplesWithNANs,YStd,YImbalance,STDRatio,CorrelationMean,SkewnessMean,KurtosisMean,AdaBoostRegressor_rl,BaggingRegressor_rl,BayesianRidge_rl,DecisionTreeRegressor_rl,ExtraTreeRegressor_rl,ExtraTreesRegressor_rl,GradientBoostingRegressor_rl,HuberRegressor_rl,KNeighborsRegressor_rl,KernelRidge_rl,LinearRegression_rl,LinearSVR_rl,NuSVR_rl,OrthogonalMatchingPursuit_rl,OrthogonalMatchingPursuitCV_rl,PLSRegression_rl,PassiveAggressiveRegressor_rl,RandomForestRegressor_rl,SVR_rl,AdaBoostRegressor,BaggingRegressor,BayesianRidge,DecisionTreeRegressor,ExtraTreeRegressor,ExtraTreesRegressor,GradientBoostingRegressor,HuberRegressor,KNeighborsRegressor,KernelRidge,LinearRegression,LinearSVR,NuSVR,OrthogonalMatchingPursuit,OrthogonalMatchingPursuitCV,PLSRegression,PassiveAggressiveRegressor,RandomForestRegressor,SVR
house-prices-advanced-regression-techniques,1000,80,37,43,2,80,1000,81548.78565305645,159.90274822181416,0.14134633832144894,0.05295880367846453,7.857483669345907,163.88396813924234,46520.494774228006,46017.127308199095,46058.22709023642,44396.37550410575,43289.98989397688,45670.450476543585,46290.23737065611,46242.36818134459,44057.62224341898,46392.550626625896,44747.32610714794,1.2647472571628871e-06,35541.12418121536,46957.41857494883,46848.44469431506,47792.31133101545,39898.958828661176,45709.72862819474,34674.32548194391,53502.30154114609,54160.93403955167,54113.25090312791,55871.27583295325,56768.75671535973,54153.460780988535,53064.743939518026,53878.345965509616,54447.6491448622,55821.67162657154,1.0125983106708919e-06,57949.00765851987,54210.99544598046,57014.86663192876,55659.79878492733,57121.19339284537,53413.32044092002,54135.514976726015,53772.493225357735
bike-sharing-day,731,15,14,1,3,15,731,1937.211451618768,38.68232441596837,0.03836460566774818,0.0038480642296986048,26.53905708013973,717.2904445658297,50397.37706415117,50608.42318608205,50282.603644164265,49489.807904999725,48021.616442552266,51067.10757911759,52271.06164671088,50363.93048210329,46172.98282086939,49435.69383158328,50073.535683677015,1.1675784469122865e-06,33086.51470535382,55556.72313517002,55556.72313517003,48277.491989729315,48349.82504080979,50023.61734155314,33632.28455249935,43809.579470270226,47018.033024678574,46334.923888553545,45778.01746661876,41292.41291705749,46089.50212764866,47042.27648339624,48458.24416793911,32581.943712671557,50312.96693285581,50528.46283488393,1.545487569599654e-06,12523.779926856192,55271.40027681259,53754.75117420914,41525.75394821764,47144.66990653062,46505.76825349611,14347.620613786528
bike-sharing-hour,1000,16,15,1,3,16,1000,191.824784996984,125.52025069021069,0.04213491311774842,0.005119430883141382,24.972851279814268,673.5625359916935,42740.148471404886,42145.67281336172,36148.33509535331,35630.690181933845,39385.732958049084,43918.7441835656,43893.18512831147,35986.85890232506,18901.503251817892,30262.59982420145,37171.44132565043,4.620214779619304e-06,4324.631569159162,55560.17577495537,55560.17577495537,32176.14830991928,28009.67157479793,41045.35562651067,1213.5099964753892,47716.000810960126,52289.85807480137,52840.11036135622,52631.812471081976,51624.59158019495,53240.25969209805,52026.76470544262,54457.275158577424,26438.7205012832,54201.84353424077,52929.67127638617,13011.011108526796,1577.0767438332846,59312.111086460885,57884.52682768079,32684.956088817828,56165.94145761547,52624.97570113992,3.217812218551272e-06
forest-fires,517,12,10,2,0,12,517,63.655818467940904,226.1886380877696,0.1891374749394953,0.11727554839930933,4.283263914542621,60.42645004582813,2586.275123305274,6655.073384988533,16634.75521645853,7.966308210958293e-06,6696.943306205086,3984.078702606068,1641.8427101415991,14901.586852376182,12816.59460061314,13723.425340799538,5931.472854625039,15428.549445474908,16571.73800010419,14580.379758231147,14910.560154306628,11903.481329908704,16395.040706295797,8686.853889241793,14968.438986062714,52350.86421647231,53383.13559041191,54479.10794129835,54965.68332446676,55491.182211072766,53354.58696542347,52760.86024894539,52848.48301186285,54746.78197485901,54844.248499798094,1.0248985310935192e-06,55456.005204844616,53608.801320229,55758.01147172193,54758.32307401227,55537.667835548586,55830.90700708682,53022.30741408899,53947.069009473635
wine-quality-white,1000,11,11,0,0,11,1000,0.8796890660073323,174.58754114715492,0.14760143576808168,0.2710128804369695,0.9874143956866188,3.4410627620980434,21971.551671372243,22360.72463960744,23567.208038901732,13261.299467827805,2.693316571545106e-06,21441.248263747188,20478.621182498493,20931.03625557413,22529.852038291974,19271.375856592218,21929.010201425626,23909.85444921236,20582.29393257326,23976.082498728185,22019.375977486587,21343.46745765508,15408.044171982969,23364.899341905184,21136.49456961277,13538.228142495915,14912.205080699461,14224.943466821753,1935.0993751674173,60.72181586784708,14570.999558523423,15407.720029491573,13675.618784706976,12720.70657057743,1951.452382776749,14346.780965068467,13380.819827661191,12670.421413717473,11592.448104609983,13453.162041935533,13219.9263511308,5.7432842613581775e-05,14957.744927945576,12874.548279123548
wine-quality-red,1000,11,11,0,0,11,1000,0.7998898823111992,198.6219188978565,0.1356262907328498,0.2714255333196974,1.6443483819068907,7.396697230953183,16362.554048435732,15513.486123798306,15136.397460337232,6077.08075146309,4249.3524501616885,14821.932754427251,12815.823404365916,9347.092967112321,14421.432087056246,5.058424633896348e-06,11934.022761528347,14646.197886148853,10263.787423573996,18242.26107905321,16293.328732104934,14098.145885686223,7012.359686129405,13958.063037114736,13410.055152136345,15502.079077228876,16108.982468209866,16774.263862863303,2860.432088445561,4052.9953543803417,16607.876733120163,15691.464565857026,15873.776026512862,12777.207337815127,5.12268382349601e-06,16595.578193344918,16183.011115438301,14421.478206598133,14202.006993012692,16370.300974058291,16599.200425089977,10100.724215576069,15756.861009390475,15605.489926315433
absenteeism-at-work,740,20,20,0,3,20,740,13.330998100978197,223.2872464885634,0.2539802245967482,0.17146254993121635,0.8062045483420219,1.862562858328032,23880.36553801897,19062.742835850288,8771.791463459673,9901.265021851263,5.5734457003051394e-06,18284.259155241347,19961.722697677687,9811.19530035343,9429.323831502581,13301.31577242878,11189.888380173974,5423.399319862626,5886.886417731946,12278.567384167223,11177.504162399693,10757.063840368904,7252.04394983795,16966.867456521577,4901.303997933665,19504.275715799482,22614.47956511017,27493.837257641266,14375.39059311547,2.310527239487451e-06,22867.847876344877,22979.040800848383,25823.574620936368,26094.561701582217,26235.9770083418,27253.64807803336,26819.183942048963,25241.42809442752,27681.179372757597,27203.8798649314,27357.172778561933,27889.37668638089,22158.633477358173,25048.353087860807
automobiles,201,25,15,10,4,25,201,7947.066341939274,26.193510646723166,0.2084587551643794,0.139140220653854,3.6472976880846497,29.528944138357947,42864.64236115942,41648.66177328204,39717.170179819295,41587.04641888893,41179.39111071036,43341.66133454874,43274.10741344067,40835.70658390757,35151.78310352464,39190.756355025645,34910.88555843803,1.4889790882245078e-06,25428.39828239551,39981.750842009664,39336.780063792474,39877.09267569509,34723.817943424765,41141.68880136147,24782.880152271264,52724.526523603374,54179.886642976686,54816.732364028045,55847.254172232795,56099.05856766163,53886.41439172891,53369.35092434746,53188.64014262538,55756.08659809953,56082.93220162154,1.0117626206207093e-06,56431.16934454487,55599.9325107045,56058.97836534434,55062.231542503825,56064.14275299426,54620.68989523502,53849.585002315216,55769.087936083524
